Make,Model,Vehicle Class,Body Type,Seats,Fuel Type,Battery Capacity (kWh),Electric Range (km),City MPG,Highway MPG,Combined MPG,CO2 Emissions (g/km),Drive Type,Footprint
Mercedes-Benz,GLE 450 e 4MATIC,Standard SUV 4WD,SUV,5,Gasoline,31.218,80.467,21.0,26.0,23.0,61.51590092833087,All Wheel Drive,
Mitsubishi Motors Co,Outlander PHEV,Standard SUV 4WD,SUV,5,Gasoline,19.6945,61.15492,25.0,27.0,26.0,71.45786471472778,All Wheel Drive,
Porsche,Cayenne E-Hybrid,Standard SUV 4WD,SUV,5,Gasoline,25.2,46.67086,21.0,23.0,22.0,108.11885617706638,All Wheel Drive,
Porsche,Cayenne E-Hybrid Coupe,Standard SUV 4WD,SUV,5,Gasoline,25.2,46.67086,21.0,23.0,22.0,108.11885617706638,All Wheel Drive,
Porsche,Cayenne S E-Hybrid,Standard SUV 4WD,SUV,5,Gasoline,25.2,43.45218,21.0,23.0,22.0,116.19670175351386,All Wheel Drive,
Porsche,Cayenne S E-Hybrid Coupe,Standard SUV 4WD,SUV,5,Gasoline,25.2,43.45218,21.0,23.0,22.0,116.19670175351386,All Wheel Drive,
Porsche,Cayenne Turbo E-Hybrid,Standard SUV 4WD,SUV,5,Gasoline,25.2,38.62416,21.0,23.0,22.0,139.1874930095567,All Wheel Drive,
Porsche,Cayenne Turbo E-Hybrid Coupe,Standard SUV 4WD,SUV,5,Gasoline,25.2,38.62416,21.0,23.0,22.0,139.1874930095567,All Wheel Drive,
Porsche,Panamera 4 E-Hybrid,Large Cars,Car,5,Gasoline,25.2,45.06152,21.0,24.0,21.0,114.95395628021426,All Wheel Drive,
Porsche,Panamera 4S E-Hybrid,Large Cars,Car,5,Gasoline,25.2,45.06152,20.0,23.0,21.0,116.19670175351386,All Wheel Drive,
Volvo,S60 T8 AWD,Compact Cars,Car,5,Gasoline,18.819,64.3736,30.0,33.0,31.0,61.51590092833087,All Wheel Drive,
Volvo,S90 T8 AWD,Midsize Cars,Car,5,Gasoline,18.819,61.15492,28.0,31.0,29.0,188.27593920489144,All Wheel Drive,
Volvo,V60 T8 AWD,Small Station Wagons,Wagon,5,Gasoline,18.819,64.3736,30.0,33.0,31.0,61.51590092833087,All Wheel Drive,
Volvo,XC60 T8 AWD,Small SUV 4WD,SUV,5,Gasoline,18.819,56.3269,28.0,28.0,28.0,75.80747387127643,All Wheel Drive,
Volvo,XC90 T8 AWD,Standard SUV 4WD,SUV,7,Gasoline,18.819,51.49888,26.0,27.0,27.0,82.02120123777449,All Wheel Drive,
